Abarth 500 Assetto Corse,139.674
Abarth 500 EsseEsse,150.821
Abarth 500 EsseEsse Step1,147.514
Abarth 595 SS,209.864
Abarth 595 SS Step 1,203.686
Abarth 595 SS Step 2,173.848
Alfa Romeo 155 TI V6,123.438
Alfa Romeo 33 Stradale,133.098
Alfa Romeo 4C,134.093
Alfa Romeo Giulia Quadrifoglio,125.698
Alfa Romeo GTA,147.663
Alfa Romeo Mito QV,150.036
Audi R18 e-tron quattro 2014,99.177
Audi R8 LMS 2016,110.891
Audi R8 LMS Ultra,112.192
Audi R8 V10 Plus,125.335
Audi S1,143.352
Audi Sport quattro,139.855
Audi Sport quattro S1 E2,118.864
Audi Sport quattro Step1,135.239
Audi TT Cup,123.847
Audi TT RS (VLN),117.2
BMW 1M,134.239
BMW 1M Stage 3,132.516
BMW M235i Racing,127.312
BMW M3 E30,145.27
BMW M3 E30 Drift,nan
BMW M3 E30 Gr.A 92,122.98
BMW M3 E30 Group A,133.01
BMW M3 E30 Step1,142.062
BMW M3 E92,133.013
BMW M3 E92 drift,nan
BMW M3 E92 Step1,130.957
BMW M3 GT2,112.583
BMW M4,130.64
BMW M4 Akrapovic,130.002
BMW Z4 E89,137.88
BMW Z4 E89 Drift,nan
BMW Z4 E89 Step1,135.889
BMW Z4 GT3,111.385
Chevrolet Corvette C7 Stingray,127.181
Chevrolet Corvette C7R,111.2
Dallara F312,112.388
Dallara F317,106.487
Ferrari 250 GTO,140.448
Ferrari 312/67,115.785
Ferrari 312T,109.954
Ferrari 330 P4,122.24
Ferrari 458 GT2,111.369
Ferrari 458 Italia,122.478
Ferrari 458 Italia Stage 3,114.933
Ferrari 488 GT3,112.003
Ferrari 488 GTB,117.332
Ferrari 599XX EVO,107.8
Ferrari 812 Superfast,115.752
Ferrari F138,89.907
Ferrari F2004,84.25
Ferrari F40,125.376
Ferrari F40 Stage 3,117.458
Ferrari FXX K,105.764
Ferrari GTO,127.545
Ferrari LaFerrari,107.609
Ferrari SF15-T,90.833
Ferrari SF70H,87.679
Ford Escort RS1600,138.827
Ford GT40,124.871
Ford Mustang 2015,133.883
Giulietta QV,145.009
Giulietta QV Launch Edition 2014,145.323
KTM X-Bow R,126.286
Lamborghini Aventador SV,117.298
Lamborghini Countach,131.96
Lamborghini Countach S1,131.968
Lamborghini Gallardo SL,119.998
Lamborghini Gallardo SL Step3,113.164
Lamborghini Huracan GT3,110.887
Lamborghini Huracan Performant,nan
Lamborghini Huracan Performante,nan
Lamborghini Huracan ST,111.624
Lamborghini Miura P400 SV,140.63
Lamborghini Sesto Elemento,114.106
Lotus 2-Eleven,126.098
